Date,latent_factor_period_mean,latent_factor_period_last,inflation_rate_pct
2004-12-31,1.1337372187020542,0.0339661631542818,2.67723669309172
2005-12-31,-0.8941478672460772,-6.0986896300797095,3.3927468454955
2006-12-31,-16.764688445585783,-22.30250086386021,3.22594410070404
2007-12-31,-24.1467541343828,-27.3286586605205,2.85267248150138
2008-12-31,-16.77769047441384,8.937569064065796,3.839100296651
2009-12-31,10.530302827461385,3.555563434059152,-0.355546266299747
2010-12-31,5.297975978941709,-3.3399248209735046,1.6400434423899
2011-12-31,-7.473983082762466,2.578832345342031,3.156841568622
2012-12-31,-2.423481643397083,-6.101070924221927,2.06933726526067
2013-12-31,-6.700336235108016,-9.740820481106317,1.46483265562717
2014-12-31,-11.249653366489914,2.432912732480265,1.62222297740817
2015-12-31,7.980768648427719,14.767722018755864,0.118627135552451
2016-12-31,6.999050415055675,10.231720967824314,1.26158320570536
2017-12-31,-4.4824680412901685,-15.980674211595607,2.13011000365961
2018-12-31,-10.111784138021353,-0.00035290883045,2.44258329692817
2019-12-31,-4.268791935740703,-8.639980078017988,1.81221007526021
2020-12-31,4.52869210153475,2.7699236282448334,1.23358439630629
2021-12-31,5.143915537642465,6.160983705968829,4.69785886363742
2022-12-31,17.61406757716452,17.43169301833167,8.00279982052121
2023-12-31,11.27064452843196,1.7294531999312082,4.11633838374488
2024-12-31,-1.3412911371238088,1.249524797650361,2.94952520485207
