Date,latent_factor_monthly_mean,latent_factor_monthly_last,inflation_rate_pct,price_index_full,price_index_rebased
2004-11-30,1.8689848142419754,0.7121443532012162,0.1,1929.283307851617,100.0
2004-12-31,0.8460316378386067,0.0339661631542818,-0.4,1921.5661746202106,99.6
2005-01-31,2.5154386743077257,2.224046401542785,0.2,1925.4093069694509,99.79919999999998
2005-02-28,0.8958689372898438,-2.2294502339454128,0.6,1936.9617628112674,100.39799519999998
2005-03-31,-2.035974300518638,-0.3174598100587409,0.8,1952.4574569137578,101.2011791616
2005-04-30,0.0374413752203531,0.834634393056862,0.7,1966.124659112154,101.9095874157312
2005-05-31,1.994786719449231,3.813981979101392,-0.1,1964.158534453042,101.80767782831548
2005-06-30,1.738311515238644,1.735275733269415,0.1,1966.1226929874947,101.90948550614377
2005-07-31,1.3696956856504536,0.0734822185046322,0.5,1975.953306452432,102.41903293367447
2005-08-31,-2.4350565173616063,-3.707180048091371,0.5,1985.8330729846941,102.93112809834284
2005-09-30,-4.437397686190486,-4.113483654640943,1.2,2009.6630698605104,104.16630163552296
2005-10-31,-2.1992199002701716,-1.1675781576101611,0.2,2013.6823960002314,104.374634238794
2005-11-30,-1.8815384083282254,-2.929578393448765,-0.8,1997.5729368322295,103.53963716488366
2005-12-31,-5.766552501605842,-6.0986896300797095,-0.4,1989.5826450849004,103.1254786162241
2006-01-31,-10.967771415585045,-12.095608332079625,0.8,2005.4993062455796,103.9504824451539
2006-02-28,-9.498693091845976,-10.369687450477157,0.2,2009.5103048580706,104.1583834100442
2006-03-31,-11.110929043118023,-13.459294502784038,0.6,2021.5673666872192,104.78333371050446
2006-04-30,-16.482443344055927,-21.55996085467458,0.9,2039.761472987404,105.726383713899
2006-05-31,-22.41868359258499,-20.39848046260616,0.5,2049.9602803523408,106.25501563246848
2006-06-30,-16.39304154842792,-19.37889440569195,0.2,2054.0602009130457,106.46752566373344
2006-07-31,-18.389923581737925,-18.98614661762668,0.3,2060.2223815157845,106.7869282407246
2006-08-31,-19.524135898104568,-19.574571998771837,0.2,2064.342826278816,107.00050209720607
2006-09-30,-17.15705549055882,-16.786985891793815,-0.5,2054.021112147422,106.46549958672004
2006-10-31,-15.86403230248154,-18.286468687090714,-0.5,2043.751006586685,105.93317208878643
2006-11-30,-20.26699623651066,-24.08831786264269,-0.1,2041.707255580098,105.82723891669764
2006-12-31,-22.65014177487362,-22.30250086386021,0.1,2043.748962835678,105.93306615561433
2007-01-31,-20.34282170627662,-22.32310817806076,0.3,2049.8802097241846,106.25086535408114
2007-02-28,-23.100398135357622,-22.737958610697472,0.5,2060.1296107728053,106.78211968085155
2007-03-31,-21.76449114208523,-23.30582058057083,0.9,2078.6707772697605,107.7431587579792
2007-04-30,-25.25075379766385,-25.614759254587696,0.6,2091.142801933379,108.38961771052706
2007-05-31,-24.280439593375423,-23.793530335398412,0.6,2103.689658744979,109.03995541679024
2007-06-30,-22.70709068285964,-22.69792587261386,0.2,2107.897038062469,109.25803532762382
2007-07-31,-24.485566123006773,-22.522746163574485,0.0,2107.897038062469,109.25803532762382
2007-08-31,-20.39207325065808,-20.343965895763315,-0.2,2103.6812439863443,109.03951925696856
2007-09-30,-23.766704439149454,-27.76873987040221,0.3,2109.992287718303,109.36663781473946
2007-10-31,-27.465038966386576,-30.84139812643033,0.2,2114.2122722937393,109.58537109036892
2007-11-30,-29.506339597396064,-27.1503578828008,0.6,2126.897545927502,110.24288331691115
2007-12-31,-26.86460579209589,-27.3286586605205,-0.1,2124.7706483815746,110.13264043359423
2008-01-31,-28.03814521443698,-28.887469379307905,0.5,2135.394501623482,110.68330363576219
2008-02-29,-27.5708869215621,-31.13748603539699,0.3,2141.800685128352,111.01535354666946
2008-03-31,-31.560081753443054,-30.384830171438875,0.9,2161.0768912945073,112.01449172858949
2008-04-30,-30.633465799992017,-28.760257835100447,0.6,2174.0433526422744,112.68657867896103
2008-05-31,-29.668097441905545,-29.41483581718121,0.8,2191.4356994634127,113.58807130839273
2008-06-30,-27.735949544442512,-29.178990295939187,1.0,2213.3500564580468,114.72395202147665
2008-07-31,-28.187745912398505,-25.534138572107384,0.5,2224.4168067403366,115.297571781584
2008-08-31,-18.872251943892664,-16.47362667642698,-0.4,2215.519139513375,114.83638149445767
2008-09-30,-12.005271384903521,-8.70608331536794,-0.1,2213.303620373862,114.72154511296321
2008-10-31,4.2152181647195945,12.693410155752796,-1.0,2191.170584170123,113.57432966183359
2008-11-30,15.314857867276023,14.741352317542413,-1.9,2149.5383430708907,111.41641739825873
2008-12-31,13.281145726369088,8.937569064065796,-1.0,2128.042959640182,110.30225322427614
2009-01-31,15.225317418104792,17.019136967300216,0.4,2136.5551314787426,110.74346223717326
2009-02-28,18.973791764164204,20.98385973366099,0.5,2147.2379071361365,111.29717954835913
2009-03-31,19.998360807113333,19.666780657120896,0.2,2151.5323829504086,111.51977390745583
2009-04-30,20.275113127971174,19.84121887714014,0.2,2155.83544771631,111.74281345527078
2009-05-31,14.128205255553961,9.78898870924061,0.3,2162.3029540594584,112.07804189563657
2009-06-30,10.404422067045816,10.70882016641636,0.9,2181.763680645993,113.08674427269727
2009-07-31,10.595498357286383,8.201587590523959,-0.2,2177.4001532847014,112.8605707841519
2009-08-31,8.255165592963662,8.261551619046053,0.2,2181.754953591271,113.0862919257202
2009-09-30,5.562353560924421,4.980872648491604,0.1,2183.9367085448616,113.1993782176459
2009-10-31,2.5206095661862076,4.26491749826834,0.1,2186.120645253406,113.31257759586353
2009-11-30,-0.5588409850834473,-1.795430159375488,0.1,2188.3067658986593,113.42589017345938
2009-12-31,1.7054664909924655,3.555563434059152,-0.2,2183.930152366862,113.19903839311245
2010-01-31,2.5865408456677366,7.220189035487903,0.3,2190.4819428239625,113.53863550829179
2010-02-28,7.017498577620581,5.71822123133355,0.0,2190.4819428239625,113.53863550829179
2010-03-31,5.2206532033127795,5.17538432421245,0.4,2199.243870595258,113.99279005032494
2010-04-30,3.919598598560746,5.036082251429113,0.2,2203.642358336449,114.2207756304256
2010-05-31,12.326681543093834,14.099687219410445,0.1,2205.846000694785,114.334996406056
2010-06-30,13.661166577941286,13.887512221407492,-0.1,2203.64015469409,114.22066140964995
2010-07-31,9.961474180612537,7.564809794535114,0.0,2203.64015469409,114.22066140964995
2010-08-31,8.116662360809405,9.752246529503084,0.1,2205.843794848784,114.33488207105958
2010-09-30,5.515445289681703,1.4754295175324244,0.1,2208.0496386436325,114.44921695313064
2010-10-31,-1.936555429653926,-2.178416717095089,0.1,2210.2576882822755,114.56366617008372
2010-11-30,-1.4503277472530507,2.827809797401485,0.0,2210.2576882822755,114.56366617008372
2010-12-31,-1.0474649823407733,-3.3399248209735046,0.2,2214.67820365884,114.7927935024239
2011-01-31,-2.346358989556902,-3.366685012125448,0.5,2225.751594677134,115.36675746993602
2011-02-28,-4.8607148889331295,-7.161219831209946,0.5,2236.88035265052,115.9435912572857
2011-03-31,-7.922811153629661,-9.75302397647041,1.0,2259.249156177025,117.10302716985854
2011-04-30,-13.292720961852611,-18.156531878549757,0.6,2272.804651114087,117.8056453328777
2011-05-31,-12.952150678904053,-14.49510668091546,0.5,2284.1686743696573,118.39467355954207
2011-06-30,-12.612511560648407,-13.29593393542882,-0.1,2281.8845056952878,118.27627888598253
2011-07-31,-13.408973948579764,-13.604869631507729,0.1,2284.1663902009827,118.39455516486852
2011-08-31,-11.802254048214254,-12.526391149786326,0.3,2291.0188893715854,118.7497388303631
2011-09-30,-5.776477265163371,1.1965697225477572,0.2,2295.6009271503285,118.98723830802383
2011-10-31,-2.7790216840309383,-5.353849360633811,-0.2,2291.009725296028,118.74926383140779
2011-11-30,-2.423644751291655,-2.3350902310826807,-0.1,2288.718715570732,118.63051456757637
2011-12-31,0.8567743999736649,2.578832345342031,-0.2,2284.1412781395907,118.39325353844123
2012-01-31,0.2703834452266573,-2.725151284416275,0.4,2293.277843252149,118.866826552595
2012-02-29,-3.9148318699597136,-3.952878152980772,0.4,2302.450954625158,119.34229385880539
2012-03-31,-3.65834083989851,-4.795124130872579,0.8,2320.870562262159,120.29703220967583
2012-04-30,-3.3626937026684893,-5.0255921416909874,0.3,2327.8331739489454,120.65792330630485
2012-05-31,0.9064654469805545,5.423212104470615,-0.1,2325.5053407749965,120.53726538299854
2012-06-30,3.351511623651033,1.2416085104550798,-0.1,2323.179835434222,120.41672811761556
2012-07-31,2.5934050393984784,1.9468779614999128,-0.2,2318.533475763353,120.17589466138031
2012-08-31,-0.9600372299749721,-3.133147009874374,0.6,2332.4446766179335,120.89695002934862
2012-09-30,-6.6679717868254285,-7.018146264315681,0.4,2341.774455324405,121.38053782946601
2012-10-31,-6.731513088242308,-5.332451503400949,0.0,2341.774455324405,121.38053782946601
2012-11-30,-5.17557976978793,-6.435203480018451,-0.5,2330.065583047783,120.77363514031866
2012-12-31,-6.158243879610292,-6.101070924221927,-0.3,2323.07538629864,120.41131423489773
2013-01-31,-8.18926771058622,-9.464846489155544,0.3,2330.044612457536,120.77254817760243
2013-02-28,-7.468370030285129,-4.432206173889192,0.8,2348.684969357196,121.73872856302324
2013-03-31,-5.4145256651074956,-5.994720845635662,0.3,2355.7310242652675,122.1039447487123
2013-04-30,-4.273225089255951,-5.913482341887714,-0.1,2353.3752932410025,121.98184080396359
2013-05-31,-3.6137174943161465,-2.171595565798845,0.2,2358.0820438274845,122.22580448557153
2013-06-30,-3.4301062444543797,0.1694846339855081,0.2,2362.7982079151393,122.47025609454265
2013-07-31,-3.580485136523785,-6.973947984372786,0.0,2362.7982079151393,122.47025609454265
2013-08-31,-7.904296284286883,-7.337344508531585,0.1,2365.161006123054,122.59272635063718
2013-09-30,-8.674002592276986,-8.969834247037051,0.1,2367.5261671291773,122.71531907698784
2013-10-31,-9.759229849070351,-10.128030468899818,-0.3,2360.4235886277893,122.34717311975685
2013-11-30,-8.908282187679093,-8.700134297959751,-0.2,2355.7027414505337,122.10247877351733
2013-12-31,-9.168074451032043,-9.740820481106317,0.0,2355.7027414505337,122.10247877351733
2014-01-31,-9.731203821665318,-8.143274539250823,0.4,2365.125552416336,122.59088868861141
2014-02-28,-11.810494587016986,-13.9999572751219,0.4,2374.5860546260014,123.08125224336587
2014-03-31,-13.856230222629502,-13.138377811118938,0.6,2388.8335709537573,123.81973975682605
2014-04-30,-14.041352105059996,-14.74374739620867,0.3,2396.0000716666186,124.19119897609653
2014-05-31,-15.104205560523827,-14.787798075004469,0.3,2403.1880718816183,124.56377257302479
2014-06-30,-16.035309322490217,-18.39699522409977,0.2,2407.9944480253816,124.81290011817086
2014-07-31,-17.130339779227967,-13.564622915908725,0.0,2407.9944480253816,124.81290011817086
2014-08-31,-14.661160628669373,-14.277267562544711,-0.2,2403.178459129331,124.56327431793451
2014-09-30,-10.831504269763803,-7.287976922403949,0.1,2405.5816375884597,124.68783759225242
2014-10-31,-6.853718186621613,-5.187122241321194,-0.3,2398.364892675694,124.31377407947566
2014-11-30,-4.452344953326137,-2.874750788654259,-0.5,2386.373068212316,123.69220520907828
2014-12-31,-0.884767413345381,2.432912732480265,-0.6,2372.0548298030417,122.9500519778238
2015-01-31,4.899993123061354,7.009134789080478,-0.5,2360.1945556540263,122.33530171793468
2015-02-28,5.874090251248232,6.184727822641479,0.4,2369.6353338766426,122.82464292480643
2015-03-31,10.303050985945745,10.655723200240438,0.6,2383.8531458799025,123.56159078235527
2015-04-30,7.465627332065921,3.862249674450818,0.2,2388.620852171662,123.80871396391997
2015-05-31,3.332372250616545,5.153222663246059,0.5,2400.56395643252,124.42775753373955
2015-06-30,3.2838524798104056,4.989615612109224,0.4,2410.16621225825,124.9254685638745
2015-07-31,7.075201206822611,7.708869088989076,0.0,2410.16621225825,124.9254685638745
2015-08-31,8.628488993709063,9.68884069433873,-0.1,2407.756046045992,124.80054309531064
2015-09-30,10.031500714968251,11.42145381062884,-0.2,2402.9405339539,124.55094200912
2015-10-31,7.4996596937945075,8.535946310539783,0.0,2402.9405339539,124.55094200912
2015-11-30,12.999822756781866,14.748046007876308,-0.2,2398.134652885992,124.30184012510178
2015-12-31,13.997989790533781,14.767722018755864,-0.3,2390.9402489273343,123.92893460472648
2016-01-31,17.171177995080505,16.531378958025737,0.2,2395.722129425189,124.17679247393593
2016-02-29,13.61535092099514,13.24623924254992,0.1,2398.117851554614,124.30096926640985
2016-03-31,8.748206932925275,6.317027618859359,0.4,2407.710322960833,124.79817314347551
2016-04-30,5.333758922355666,2.297547422273956,0.5,2419.748874575637,125.42216400919288
2016-05-31,4.138316672728383,5.783160271300384,0.4,2429.427870073939,125.92385266522965
2016-06-30,4.261766910441389,4.557074026416606,0.3,2436.716153684161,126.30162422322533
2016-07-31,4.02994789978816,2.3639890419528693,-0.2,2431.8427213767927,126.04902097477888
2016-08-31,1.753107141897752,3.199087240789462,0.1,2434.274564098169,126.17506999575363
2016-09-30,2.196412851736168,1.4572478113892913,0.2,2439.1431132263656,126.42742013574515
2016-10-31,4.992791401030213,6.718100030682705,0.1,2441.582256339592,126.55384755588089
2016-11-30,8.41430817242306,10.170445219056305,-0.2,2436.6990918269125,126.30073986076913
