Date,latent_factor
2004-11-18,4.272002014492822
2004-11-19,3.445054473298102
2004-11-22,2.7792062369317567
2004-11-23,2.2909373276015113
2004-11-24,1.3300909229041802
2004-11-25,0.9738283679753569
2004-11-26,0.33835116300349743
2004-11-29,0.6792484687693384
2004-11-30,0.7121443532012162
2004-12-01,0.7605386361891858
2004-12-02,1.8775838459031176
2004-12-03,0.4539786170058012
2004-12-06,1.0213046271461634
2004-12-07,1.5932196079536751
2004-12-08,2.527996125053807
2004-12-09,2.4579747027527707
2004-12-10,3.554876320124067
2004-12-13,2.511840980882489
2004-12-14,2.8430078414737525
2004-12-15,0.9634373807596975
2004-12-16,2.076630269937953
2004-12-17,0.716338309743441
2004-12-20,-0.0011954041239950037
2004-12-21,0.10501379243777449
2004-12-22,0.36767905032810516
2004-12-23,-0.7070186851417427
2004-12-24,-0.9414423189094732
2004-12-27,-0.5168765254529576
2004-12-28,-0.7128800015900516
2004-12-29,-0.7453461399051262
2004-12-30,-0.7818995254347839
2004-12-31,0.03396616315428187
2005-01-03,1.7128178491174846
2005-01-04,3.001886984015822
2005-01-05,3.159890998088486
2005-01-06,3.425578803888302
2005-01-07,4.100109275754801
2005-01-10,3.480728953779712
2005-01-11,2.862462131050724
2005-01-12,0.9900067430216091
2005-01-13,1.233816864690024
2005-01-14,1.699691608767811
2005-01-17,1.6534687404408854
2005-01-18,1.9903230142741688
2005-01-19,2.8510284732532023
2005-01-20,3.604068431340358
2005-01-21,2.5881062875197443
2005-01-24,2.604562721915219
2005-01-25,3.309578049578698
2005-01-26,2.0075490103411475
2005-01-27,2.0190032278501673
2005-01-28,2.3054875902310843
2005-01-31,2.224046401542785
2005-02-01,1.7686951979037826
2005-02-02,1.600101519863977
2005-02-03,2.477309644496204
2005-02-04,2.658933304208106
2005-02-07,4.067078781821568
2005-02-08,3.982208916018865
2005-02-09,4.0356672891999095
2005-02-10,2.5175035392316154
2005-02-11,2.2243324384545873
2005-02-14,1.1598942840956095
2005-02-15,0.47413064592581683
2005-02-16,0.21798445044856207
2005-02-17,0.37441808463671694
2005-02-18,-0.21320187185396228
2005-02-21,-0.21049397315945542
2005-02-22,-1.3996733084401485
2005-02-23,-1.4982361823958117
2005-02-24,-1.799218498507314
2005-02-25,-2.2906052822063376
2005-02-28,-2.2294502339454128
2005-03-01,-1.8100515009758513
2005-03-02,-1.4343944020718384
2005-03-03,-0.913407778558171
2005-03-04,-2.718125274162227
2005-03-07,-2.3492700501516133
2005-03-08,-3.732768550620888
2005-03-09,-4.085448035363379
2005-03-10,-4.233159315723207
2005-03-11,-4.5489848865741465
2005-03-14,-4.012576946666481
2005-03-15,-3.4496205155696456
2005-03-16,-4.27186161893935
2005-03-17,-3.879799189995845
2005-03-18,-3.7113600475414454
2005-03-21,-2.105636409877849
2005-03-22,-0.8470130954034458
2005-03-23,0.28825199568037113
2005-03-24,-0.05465311680416546
2005-03-25,-0.09259076035857322
2005-03-28,0.6841428359973477
2005-03-29,0.6333856119396026
2005-03-30,0.13499194987087265
2005-03-31,-0.31745981005874097
2005-04-01,-0.03722493252942707
2005-04-04,0.5344670878953837
2005-04-05,0.2568771569232089
2005-04-06,-0.11493010869946468
2005-04-07,-0.09460155778014429
2005-04-08,-0.4046374639200188
2005-04-11,-1.3249859590938438
2005-04-12,-1.228849269205429
2005-04-13,0.12754486165095014
2005-04-14,1.6070328477759979
2005-04-15,2.5530630735042696
2005-04-18,1.2363081080731828
2005-04-19,-0.4379948845656842
2005-04-20,0.029594779089548887
2005-04-21,-1.0572233348264455
2005-04-22,-1.1497284922365532
2005-04-25,-1.037058148114659
2005-04-26,-0.7924537866158166
2005-04-27,0.017393914640685345
2005-04-28,1.2690405946048118
2005-04-29,0.834634393056862
2005-05-02,0.867361797562738
2005-05-03,0.9009674574644917
2005-05-04,-0.2646276173479333
2005-05-05,-0.4312179478525471
2005-05-06,0.5937995917314611
2005-05-09,0.27728639360444707
2005-05-10,0.5275746034967853
2005-05-11,1.1166951156834304
2005-05-12,3.155746272600084
2005-05-13,4.085313081087425
2005-05-16,3.8853244879953923
2005-05-17,3.4176818315972324
2005-05-18,2.6444137902524734
2005-05-19,2.8651015217674614
2005-05-20,3.594686209978897
2005-05-23,2.803339147542047
2005-05-24,2.4292190259814315
2005-05-25,2.001878591619697
2005-05-26,2.455599396121168
2005-05-27,1.6043110199389083
2005-05-30,1.5408720779565988
2005-05-31,3.813981979101392
2005-06-01,3.371060664536764
2005-06-02,2.417047206014106
2005-06-03,2.6147651558918055
2005-06-06,2.0197494155925657
2005-06-07,2.0543745281222576
2005-06-08,2.842576366948364
2005-06-09,2.455666557154204
2005-06-10,2.970535573363144
2005-06-13,2.640486805843988
2005-06-14,3.2123581205262286
2005-06-15,2.089747560244987
2005-06-16,1.3560705689151313
2005-06-17,-0.04270555075281296
2005-06-20,0.6220896764240629
2005-06-21,-0.04999457549992484
2005-06-22,0.4632976959682547
2005-06-23,1.3415845416080763
2005-06-24,0.9330990577802724
2005-06-27,0.5764592246697554
2005-06-28,1.1933624128528841
2005-06-29,1.4259465957766393
2005-06-30,1.735275733269415
2005-07-01,2.5932313174792596
2005-07-04,2.891273269928541
2005-07-05,3.129989350642115
2005-07-06,3.1262966959665075
2005-07-07,3.081608130250516
2005-07-08,2.6071387545542084
2005-07-11,1.4636428990701995
2005-07-12,-0.32730532432873
2005-07-13,0.8122339468506755
2005-07-14,1.4032224219137432
2005-07-15,1.2753698196639969
2005-07-18,1.5158486342724418
2005-07-19,1.53293185882423
2005-07-20,0.6496004975827268
2005-07-21,0.34307339272135295
2005-07-22,0.6065422606397431
2005-07-25,0.7717001982722719
2005-07-26,1.2218559942913771
2005-07-27,0.35729506813487627
2005-07-28,-0.36542200657515783
2005-07-29,0.07348221850463228
2005-08-01,-0.6460455484696688
2005-08-02,-0.988034891795462
2005-08-03,-1.990950586360127
2005-08-04,-2.0578037492521073
2005-08-05,-1.8941284442376538
2005-08-08,-1.7851814008018385
2005-08-09,-2.1623059904217588
2005-08-10,-2.951084834143552
2005-08-11,-4.144359171631349
2005-08-12,-4.3270786376556805
2005-08-15,-3.9480061677824225
2005-08-16,-3.4175409144858784
2005-08-17,-2.181167900294933
2005-08-18,-1.4021586110563058
2005-08-19,-1.5618540416825841
2005-08-22,-2.18005096313106
2005-08-23,-2.3961600611309213
2005-08-24,-2.329937837258778
2005-08-25,-2.981709785540141
2005-08-26,-2.5334080510505017
2005-08-29,-2.297013415763677
2005-08-30,-2.1231388472791703
2005-08-31,-3.707180048091371
2005-09-01,-5.236850907985923
2005-09-02,-5.188591171826373
2005-09-05,-5.21849019277728
2005-09-06,-5.058243108550017
2005-09-07,-4.660846091163634
2005-09-08,-4.563463600577123
2005-09-09,-5.357110779646877
2005-09-12,-4.547819212818837
2005-09-13,-3.9256937189603427
2005-09-14,-4.250970833735997
2005-09-15,-4.173396734564776
2005-09-16,-5.003448531867587
2005-09-19,-4.848324896166575
2005-09-20,-4.29578876433211
2005-09-21,-4.813763538681261
2005-09-22,-4.1697101815000615
2005-09-23,-3.289569156022291
2005-09-26,-3.7374593309723294
2005-09-27,-3.085017304935763
2005-09-28,-3.77266822042593
2005-09-29,-4.312039164038662
2005-09-30,-4.113483654640943
2005-10-03,-2.922096607438725
2005-10-04,-2.4400913080808477
2005-10-05,-1.7980607189988436
2005-10-06,-3.444558204688133
2005-10-07,-3.1843314551550153
2005-10-10,-2.4442842618950715
2005-10-11,-2.0429946940432133
2005-10-12,-1.982449263763174
2005-10-13,-1.6389957428694564
2005-10-14,-2.649938569762614
2005-10-17,-2.6854169112551944
2005-10-18,-1.5721683933715507
2005-10-19,-2.277878872294998
2005-10-20,-0.8993505335037776
2005-10-21,-0.6662527731976983
2005-10-24,-1.3611323297395497
2005-10-25,-3.1014126918793576
2005-10-26,-2.5271956898716397
2005-10-27,-2.579564142653709
2005-10-28,-2.7978665836008694
2005-10-31,-1.1675781576101611
2005-11-01,-0.9917229193062825
2005-11-02,-2.2338876667178984
2005-11-03,-1.8322582121361348
2005-11-04,-0.4351906585173656
2005-11-07,-0.44936603286042387
2005-11-08,-0.5086013468688999
2005-11-09,-0.7815491084439443
2005-11-10,-0.4324222562471159
2005-11-11,-0.8625049630310602
2005-11-14,-0.37803726433494245
2005-11-15,-0.361494407227911
2005-11-16,-0.8309492980218235
2005-11-17,-2.0860847407787118
2005-11-18,-2.1293228667479043
2005-11-21,-2.7214163536886398
2005-11-22,-3.8297045388561233
2005-11-23,-3.573571237199861
2005-11-24,-3.623787494674316
2005-11-25,-3.2582414899597043
2005-11-28,-3.9647603832063316
2005-11-29,-3.179393350946799
2005-11-30,-2.929578393448765
2005-12-01,-3.812994697386045
2005-12-02,-4.0343076154865845
2005-12-05,-4.595054499853033
2005-12-06,-4.794725649256582
2005-12-07,-4.096817235731121
2005-12-08,-5.2943676169865235
2005-12-09,-5.706203933879675
2005-12-12,-7.21601669210977
2005-12-13,-7.005171908429638
2005-12-14,-7.335259036013825
2005-12-15,-6.854930389712686
2005-12-16,-6.975754296525599
2005-12-19,-6.402874604720499
2005-12-20,-4.981158202133319
2005-12-21,-5.277974707814311
2005-12-22,-6.241743904504333
2005-12-23,-6.191331018885069
2005-12-26,-6.245100128936005
2005-12-27,-5.384271483276485
2005-12-28,-6.08312275174547
2005-12-29,-6.236285031862235
2005-12-30,-6.0986896300797095
2006-01-02,-6.13055356733118
2006-01-03,-9.189626617864953
2006-01-04,-10.072583366317337
2006-01-05,-9.397098342749032
2006-01-06,-10.98313892255792
2006-01-09,-10.828386114927973
2006-01-10,-10.657452987481854
2006-01-11,-11.331225774497307
2006-01-12,-10.66216430694636
2006-01-13,-11.779437946847347
2006-01-16,-11.82983113072143
2006-01-17,-11.215460403130717
2006-01-18,-10.491030317299039
2006-01-19,-11.31786462035207
2006-01-20,-10.658181902810076
2006-01-23,-12.343350659586054
2006-01-24,-12.382422207210016
2006-01-25,-12.325292588903269
2006-01-26,-12.142724429964403
2006-01-27,-11.61651061874416
2006-01-30,-11.841025984548853
2006-01-31,-12.095608332079623
2006-02-01,-11.607356410404307
2006-02-02,-11.273916808898944
2006-02-03,-10.672236814444583
2006-02-06,-10.242589862106259
2006-02-07,-8.852140393316054
2006-02-08,-9.01851999394768
2006-02-09,-9.684592026373283
2006-02-10,-8.79697870931908
2006-02-13,-8.011180764740363
2006-02-14,-8.693717534970803
2006-02-15,-7.9033574491379825
2006-02-16,-8.784860239706159
2006-02-17,-9.034722007227469
2006-02-20,-9.064915177036013
2006-02-21,-9.21793556892963
2006-02-22,-9.459522899055727
2006-02-23,-9.431949356848028
2006-02-24,-10.165468171614965
2006-02-27,-9.688214198365005
2006-02-28,-10.369687450477155
2006-03-01,-10.765156168803554
2006-03-02,-11.919267555209831
2006-03-03,-11.54979283558638
2006-03-06,-10.287511300353389
2006-03-07,-9.0816069189279
2006-03-08,-8.770307944850451
2006-03-09,-8.643141612549138
2006-03-10,-8.699983828093377
2006-03-13,-9.777532412719866
2006-03-14,-11.210045520985014
2006-03-15,-11.282418105776152
2006-03-16,-11.99491207282736
2006-03-17,-11.937278587219804
2006-03-20,-11.617276625622495
2006-03-21,-11.012397444309368
2006-03-22,-11.237603722817632
2006-03-23,-10.662296506034487
2006-03-24,-11.633337789461947
